alntmscore,evalue,lddt,neighbor_id,rmsd,target_id,tm_score
0.3319,2.776e-09,0.5181,FLT3,16.9,CD274,0.2658
0.323,3.676e-06,0.4184,PECAM1,15.29,CD274,0.265
0.294,2.484e-10,0.4868,NTRK1,17.97,CD274,0.2588
0.3049,5.576e-09,0.4948,FGFR2,12.41,CD274,0.2567
0.1486,2.247,0.6569,GCH1,21.73,CDCA2,0.04785
0.04891,0.1918,0.6968,ATXN2,69.08,CDCA2,0.04769
0.04552,0.3612,0.7215,DOT1L,81.45,CDCA2,0.04192
0.1184,0.2369,0.6712,MYC,47.73,CDCA2,0.04139
0.12,1.113,0.6234,SLC9A3,51.58,CDCA2,0.04119
0.06481,1.281,0.6845,AR,66.73,CDCA2,0.03953
0.0393,0.5507,0.6863,MAP2,74.89,CDCA2,0.03927
0.05681,1.374,0.7078,GRIN1,77.49,CDCA2,0.03917
0.07843,4.54,0.7355,TROP2,64.21,CDCA2,0.03879
0.1308,8.543,0.6707,JUN,48.7,CDCA2,0.03758
0.03714,0.1448,0.6997,BICRA,81.58,CDCA2,0.03658
0.07215,5.605,0.6787,CACNA1D,58.78,CDCA2,0.03603
0.1709,3.194,0.6511,HMGCR,40.11,CDCA2,0.03595
0.1183,6.921,0.706,ERBB2,47.17,CDCA2,0.03595
0.1293,6.921,0.5309,PPARD,36.95,CDCA2,0.03585
0.09286,3.944,0.6923,MDM2,49.89,CDCA2,0.03575
0.08378,1.374,0.6792,GRM1,58.26,CDCA2,0.03553
0.08208,3.194,0.7364,REL,64.2,CDCA2,0.03429
0.1239,2.587,0.6515,TNFAIP3,30.81,CDCA2,0.03381
0.08521,0.02169,0.7208,NUMBL,52.84,CDCA2,0.03375
0.7722,3.658e-75,0.6904,ABCC9,9.664,CFTR,0.702
0.6665,7.37e-50,0.5656,ABCB1,14.68,CFTR,0.5778
0.1239,0.3396,0.2777,DYRK1A,33.51,CFTR,0.08052
0.0883,6.723,0.3314,SLC9A3,29.76,CFTR,0.06238
0.1223,0.2005,0.36,KCNA5,41.75,CFTR,0.05952
0.1526,0.9742,0.264,EDNRA,23.6,CFTR,0.05936
0.154,0.2189,0.2706,BDKRB2,23.75,CFTR,0.05879
0.17,0.6856,0.2615,AGTR2,21.2,CFTR,0.0577
0.09744,3.188,0.3723,GRK3,39.06,CFTR,0.05757
0.1554,1.967,0.245,NPY1R,28.57,CFTR,0.05667
0.1161,4.148,0.4083,NR3C1,44.94,CFTR,0.05422
0.1427,1.882,0.2778,FSHR,34.35,CFTR,0.054
0.1492,0.239,0.2898,ADRB2,33.82,CFTR,0.05397
0.1314,7.024,0.348,APP,41.48,CFTR,0.05303
0.1719,3.637,0.2218,EDNRB,26.53,CFTR,0.05276
0.1915,0.4048,0.3689,PSEN2,26.39,CFTR,0.05205
0.1264,3.8,0.2766,FES,44.11,CFTR,0.05188
0.282,3.97,0.2371,NTPCR,15.75,CFTR,0.0515
0.145,0.1475,0.3422,CNR1,39.54,CFTR,0.0513
0.1178,7.339,0.2269,ADORA2A,28.6,CFTR,0.05099
0.5102,1.204e-07,0.6251,TIGIT,25.5,CTLA4,0.4697
0.3957,1.167e-10,0.6323,PDCD1,27.19,CTLA4,0.3737
0.5471,2.45e-07,0.6131,NECTIN4,13.69,CTLA4,0.3709
0.5517,0.0001634,0.5167,CD274,6.785,CTLA4,0.3384
0.4786,0.007906,0.5218,LAG3,16.74,CTLA4,0.3324
0.4281,0.0005146,0.5247,PECAM1,26.36,CTLA4,0.3097
0.6811,0.04072,0.4897,NTRK2,5.499,CTLA4,0.3042
0.3245,9.025e-06,0.5259,HAVCR2,31.2,CTLA4,0.2993
0.3669,1.939e-05,0.5356,FGFR4,36.34,CTLA4,0.2874
0.3797,6.109e-05,0.5287,FGFR3,24.1,CTLA4,0.2853
0.4326,0.004104,0.4959,AXL,15.18,CTLA4,0.2832
0.5372,0.01224,0.4738,KIT,6.987,CTLA4,0.2832
0.4415,0.1781,0.344,INSR,8.507,CTLA4,0.2831
0.4434,0.09243,0.4045,ROS1,5.754,CTLA4,0.2795
0.4924,0.001168,0.3816,FLT1,6.186,CTLA4,0.2776
0.3943,0.0004136,0.4698,FLT4,24.46,CTLA4,0.2759
0.4865,0.00835,0.4667,CSF1R,6.196,CTLA4,0.2715
0.3403,7.601e-05,0.4925,FGFR2,33.46,CTLA4,0.2699
0.3115,0.007486,0.4552,TP53,31.36,CTLA4,0.2646
0.3358,4.91e-05,0.5152,FGFR1,39.2,CTLA4,0.2612
0.2802,0.397,0.2806,TRPV1,15.03,DLL3,0.2429
0.2399,4.392,0.2761,CHRM1,14.87,DLL3,0.2301
0.236,0.09989,0.3548,PARP2,16.6,DLL3,0.2272
0.2297,0.5926,0.3318,CDC16,18.58,DLL3,0.211
0.2021,0.8846,0.294,MTOR,20.09,DLL3,0.1958
0.2285,2.692,0.2622,KCNJ11,18.19,DLL3,0.1937
0.1897,0.7081,0.336,HEATR6,19.69,DLL3,0.1776
0.2026,0.5668,0.3079,CDC23,18.84,DLL3,0.1759
0.177,0.2433,0.2886,ATR,17.65,DLL3,0.1648
0.1739,6.27,0.241,PIK3CA,20.92,DLL3,0.1575
0.1735,6.853,0.2449,PIK3CG,20.36,DLL3,0.1523
0.1753,3.676,0.2854,TRPC6,19.44,DLL3,0.15
0.1768,2.692,0.2641,VDR,19.5,DLL3,0.1422
0.1552,0.6196,0.2556,CNR2,19.03,DLL3,0.1417
0.1512,2.355,0.2408,ALDOA,18.23,DLL3,0.1404
0.1612,3.516,0.2585,PPARA,19.47,DLL3,0.1343
0.1536,1.321,0.2806,FDFT1,18.82,DLL3,0.1322
0.1344,2.155,0.2463,ADRA1A,20.3,DLL3,0.1318
0.1407,1.057,0.247,OPRK1,19.87,DLL3,0.1317
0.1528,6.853,0.2397,PPARG,24.59,DLL3,0.1314
0.8282,1.875e-32,0.794,EDNRB,15.74,EDNRA,0.7521
0.7749,1.594e-15,0.6832,OPRK1,13.09,EDNRA,0.6448
0.7462,1.509e-13,0.6535,BDKRB2,8.789,EDNRA,0.6354
0.706,2.742e-16,0.6929,NPY2R,20.66,EDNRA,0.629
0.786,3.562e-13,0.6713,NPY1R,8.872,EDNRA,0.6275
0.8237,2.966e-11,0.6454,AGTR2,4.825,EDNRA,0.6168
0.7306,1.551e-14,0.6604,OPRD1,11.39,EDNRA,0.616
0.7143,3.943e-12,0.6496,CCRL2,9.446,EDNRA,0.6069
0.7221,1.083e-15,0.6429,OPRM1,14.58,EDNRA,0.6041
0.7421,2.487e-14,0.6484,ORL1,15.01,EDNRA,0.6017
0.7477,1.984e-12,0.6665,AGTR1,14.06,EDNRA,0.59
0.6795,4.181e-11,0.6434,PTGIR,10.42,EDNRA,0.5806
0.7586,3.145e-10,0.6013,GNRHR,6.66,EDNRA,0.5788
0.7009,1.11e-08,0.6371,ADORA2A,10.66,EDNRA,0.5777
0.7454,7.306e-11,0.6558,ADORA1,10.8,EDNRA,0.5703
0.7293,1.909e-09,0.6203,CHRM2,7.947,EDNRA,0.5685
0.6728,3.321e-12,0.6346,ADRA1A,8.834,EDNRA,0.5669
0.6549,7.11e-10,0.6076,ADRA2A,14.39,EDNRA,0.5639
0.703,5.204e-08,0.6058,CNR2,15.19,EDNRA,0.56
0.5856,2.722e-11,0.6186,ADRB1,20.91,EDNRA,0.559
0.4104,1.784e-87,0.7995,NTRK3,31.8,NTRK1,0.4099
0.4027,7.399e-88,0.7974,NTRK2,28.04,NTRK1,0.3998
0.4189,2.533e-22,0.5259,EGFR,26.08,NTRK1,0.352
0.4568,2.436e-35,0.6254,PDGFRB,29.71,NTRK1,0.3479
0.4381,2.839e-37,0.6046,FGFR1,33.17,NTRK1,0.3403
0.3608,2.792e-28,0.5206,INSR,30.64,NTRK1,0.3401
0.4469,1.064e-35,0.6116,FLT3,31.93,NTRK1,0.3379
0.4297,4.19e-36,0.5975,FGFR2,35.53,NTRK1,0.3329
0.4344,1.12e-35,0.6436,PDGFRA,26.05,NTRK1,0.3315
0.8638,5.228e-22,0.7071,ALK,4.938,NTRK1,0.3313
0.4386,6.327e-38,0.5989,FGFR4,28.31,NTRK1,0.3309
0.4496,2.718e-29,0.591,ROS1,33.09,NTRK1,0.3299
0.4296,2.21e-29,0.5529,MET,32.36,NTRK1,0.3279
0.4251,4.422e-34,0.6149,KIT,27.1,NTRK1,0.327
0.425,6.02e-36,0.6027,KDR,33.38,NTRK1,0.3264
0.4195,2.308e-37,0.5911,FGFR3,26.22,NTRK1,0.3263
0.431,1.88e-35,0.6158,CSF1R,31.25,NTRK1,0.3242
0.4277,2.142e-34,0.6118,FLT1,34.72,NTRK1,0.3241
0.4266,8.667e-34,0.5835,FLT4,31.38,NTRK1,0.3232
0.4248,4.104e-31,0.5601,RET,29.21,NTRK1,0.32
0.4301,3.481e-08,0.4842,MTOR,21.76,PARP2,0.4149
0.4063,1.203e-08,0.4619,HEATR6,21.57,PARP2,0.4041
0.3175,2.71e-06,0.4239,ATR,20.4,PARP2,0.3069
0.181,0.8363,0.266,NLRP3,23.98,PARP2,0.1703
0.177,0.09647,0.3358,CDC23,27.05,PARP2,0.1671
0.1657,0.07015,0.2781,TRPV1,24.21,PARP2,0.1653
0.171,0.5665,0.3008,CDC16,25.01,PARP2,0.1562
0.2488,0.4268,0.3082,DLL3,21.28,PARP2,0.1543
0.1655,0.7259,0.2557,PIK3CA,23.52,PARP2,0.1468
0.1498,6.518,0.2578,PIK3CG,22.07,PARP2,0.136
0.1395,0.3704,0.2581,KCNJ11,24.63,PARP2,0.1255
0.1259,1.15,0.2395,CXCL14,31.77,PARP2,0.1242
0.1354,0.3838,0.2529,TRPC6,22.56,PARP2,0.1227
0.1241,2.69,0.2801,CHRM1,25.65,PARP2,0.1216
0.1207,0.3575,0.2374,SOS1,33.93,PARP2,0.1177
0.1484,2.787,0.2512,FDFT1,22.49,PARP2,0.1143
0.1156,2.027,0.2427,ACE,28.51,PARP2,0.1123
0.1537,8.96,0.2432,PPARA,24.4,PARP2,0.1074
0.1931,2.888,0.2943,VDR,22.75,PARP2,0.1054
0.1241,6.996,0.2373,KCNMA1,26.79,PARP2,0.1036
0.248,8.88,0.2825,MAP2K2,14.65,PIN1,0.1628
0.1462,7.33,0.2377,CHEK2,29.98,PIN1,0.1428
0.7381,9.465,0.3377,CDC23,2.645,PIN1,0.1316
0.6292,2.806,0.4024,IKBKB,3.775,PIN1,0.1289
0.6601,6.45,0.4003,CHEK1,3.493,PIN1,0.127
0.5673,7.814,0.4266,MGA,2.015,PIN1,0.1265
0.4883,3.401,0.4062,TREM2,5.156,PIN1,0.126
0.5655,3.626,0.3691,CHUK,3.701,PIN1,0.1257
0.181,4.684,0.2885,AKT1,16.64,PIN1,0.1241
0.2937,8.88,0.376,ROS1,9.019,PIN1,0.1206
0.4497,4.684,0.2943,NTPCR,9.166,PIN1,0.1188
0.4078,4.993,0.3774,NFE2L2,7.513,PIN1,0.1151
0.5349,9.465,0.3633,CDK2,4.147,PIN1,0.1028
0.2379,6.45,0.2443,TP63,9.872,PIN1,0.09789
0.2598,3.626,0.3418,BICRA,13.53,PIN1,0.08701
0.224,8.88,0.2627,HRH3,7.278,PIN1,0.08519
0.1653,4.121,0.1981,TP53,12.99,PIN1,0.08493
0.2076,6.876,0.3076,LTBP3,10.29,PIN1,0.08438
0.3534,6.45,0.2919,MAPK11,5.279,PIN1,0.08337
0.1786,5.675,0.2363,SELE,12.68,PIN1,0.07746
0.3615,0.1848,0.2652,GLA,13.15,PKM,0.236
0.4124,0.1754,0.2945,AKR1B1,11.21,PKM,0.2348
0.3344,0.000119,0.2979,PRMT5,20.41,PKM,0.2012
0.2543,0.006395,0.2229,MGA,14.48,PKM,0.1915
0.2528,0.1221,0.2218,ALDOA,19.39,PKM,0.1852
0.1963,2.868,0.2586,NLRP3,20.0,PKM,0.1592
0.2666,0.3264,0.2623,HDAC6,11.3,PKM,0.1479
0.5151,2.332,0.3057,GAMT,5.832,PKM,0.1474
0.405,0.4453,0.2686,KRAS,7.82,PKM,0.1433
0.2342,1.32,0.2132,ITGB3,14.75,PKM,0.1343
0.1982,1.32,0.2032,HSD17B10,12.63,PKM,0.134
0.1982,3.021,0.2455,CDC16,14.3,PKM,0.1317
0.2428,6.563,0.2031,SLC12A3,16.46,PKM,0.129
0.201,1.073,0.1931,HSD11B1,14.75,PKM,0.1241
0.2354,6.232,0.2218,SLC12A2,16.5,PKM,0.1238
0.1755,9.422,0.2049,MTOR,14.87,PKM,0.1197
0.2437,8.498,0.1983,OLA1,15.5,PKM,0.1169
0.2263,0.5477,0.2096,ALDH5A1,18.24,PKM,0.1159
0.2519,0.4938,0.2299,HDAC1,11.48,PKM,0.1126
0.2353,0.4228,0.1994,HDAC2,12.9,PKM,0.1113
0.408,7.695,0.306,OLA1,11.5,PNPLA6,0.08646
0.2589,3.26e-07,0.5462,GRK3,44.46,PNPLA6,0.08489
0.163,2.681,0.2793,NOS1,33.79,PNPLA6,0.08315
0.2503,1.988e-06,0.5696,KCNH2,36.85,PNPLA6,0.08272
0.2532,7.695,0.2058,PRMT5,15.88,PNPLA6,0.07572
0.3313,1.794,0.2923,NOS2,14.65,PNPLA6,0.07109
0.2655,3.117,0.2404,HSD11B1,21.59,PNPLA6,0.06961
0.1934,3.446,0.2145,SLC12A2,14.6,PNPLA6,0.0652
0.4241,4.213,0.314,KRAS,10.95,PNPLA6,0.06439
0.2305,6.96,0.2397,GRM4,22.63,PNPLA6,0.06295
0.137,5.694,0.3196,HDAC1,30.55,PNPLA6,0.06135
0.2196,0.8444,0.1881,ALDOA,16.53,PNPLA6,0.06018
0.2241,2.819,0.2546,GRIA1,22.43,PNPLA6,0.0583
0.2495,1.543,0.2324,PARK7,10.06,PNPLA6,0.05678
0.2375,3.624,0.2143,AKR1B1,11.07,PNPLA6,0.05316
0.108,0.486,0.2833,KCNMA1,36.85,PNPLA6,0.05137
0.3775,0.05894,0.2511,IDH1,11.7,PNPLA6,0.04999
0.1109,1.141,0.1954,DYRK1A,21.56,PNPLA6,0.04716
0.2457,8.507,0.1959,HSD17B10,11.58,PNPLA6,0.04682
0.092,1.395,0.4019,NUMBL,42.46,PNPLA6,0.0466
0.6686,9.519e-05,0.4704,DUSP26,8.436,PTEN,0.3094
0.6271,0.005541,0.3864,PTPN11,5.594,PTEN,0.2696
0.2593,0.641,0.2563,GRIA2,22.79,PTEN,0.1856
0.3155,0.009821,0.3203,PIK3CG,8.813,PTEN,0.1813
0.2853,1.349,0.2405,GRM8,22.47,PTEN,0.1764
0.4673,5.328,0.3389,GRM1,7.197,PTEN,0.1748
0.3594,0.641,0.3004,PIK3CA,8.83,PTEN,0.1721
0.4297,1.274,0.2852,GRK6,10.8,PTEN,0.1689
0.2212,1.274,0.2209,GRM5,24.88,PTEN,0.1539
0.2368,2.681,0.2276,GCH1,21.43,PTEN,0.1493
0.4453,0.3225,0.3032,GRIA1,5.812,PTEN,0.1481
0.3885,3.006,0.285,GRM4,6.226,PTEN,0.1402
0.3862,0.1927,0.2929,ALOX5,6.786,PTEN,0.1334
0.2375,1.349,0.2367,LPL,10.52,PTEN,0.1256
0.2741,2.133,0.2876,PDGFRB,24.77,PTEN,0.1252
0.197,0.9569,0.3267,PDCD1,42.99,PTEN,0.1235
0.1571,7.092,0.2113,GRIN2B,27.7,PTEN,0.1233
0.2752,0.8059,0.3175,NTRK2,24.16,PTEN,0.1218
0.1975,2.681,0.2169,ALDOA,15.73,PTEN,0.121
0.3029,1.136,0.2553,CSF1R,12.6,PTEN,0.1199
0.3376,0.0002049,0.3764,ITGA2B,12.88,REL,0.1734
0.2699,0.4005,0.2709,FLT4,22.0,REL,0.1487
0.2358,0.000751,0.4018,AXL,37.8,REL,0.1466
0.2351,2.697e-06,0.5214,PECAM1,37.42,REL,0.1443
0.2987,0.001039,0.328,ROS1,12.34,REL,0.1429
0.2145,1.998e-05,0.5368,MET,29.27,REL,0.1424
0.2713,0.001222,0.3767,CD274,12.22,REL,0.1378
0.2418,0.01933,0.3801,TP53,27.84,REL,0.1342
0.2095,0.2894,0.3389,INSR,32.25,REL,0.1331
0.2807,0.1778,0.3234,RET,15.35,REL,0.1315
0.2788,3.306,0.3041,KDR,13.48,REL,0.1292
0.2794,0.004245,0.4031,NTRK2,19.37,REL,0.1259
0.2565,0.002753,0.3371,PDGFRA,16.26,REL,0.1206
0.2218,0.003609,0.4024,NTRK3,32.47,REL,0.1196
0.276,0.0008834,0.5615,PDCD1,25.31,REL,0.1189
0.2276,0.01831,0.3641,FLT3,19.0,REL,0.1167
0.2459,0.001885,0.3606,KIT,20.48,REL,0.1165
0.2128,0.07895,0.415,NTRK1,27.55,REL,0.1164
0.281,0.00691,0.3121,CSF1R,13.02,REL,0.1159
0.2093,0.002471,0.4477,LAG3,29.57,REL,0.1144
0.8526,5.302e-39,0.8319,AKT1,10.11,SGK1,0.7597
0.8737,3.072e-40,0.8513,AKT2,5.609,SGK1,0.7572
0.8494,6.496e-41,0.8267,AKT3,10.04,SGK1,0.7568
0.8497,1.861e-32,0.7795,PRKACA,15.24,SGK1,0.6801
0.8609,6.349e-27,0.7357,ROCK2,4.057,SGK1,0.6655
0.6621,2.318e-26,0.6996,LATS1,25.6,SGK1,0.6516
0.8228,4e-25,0.7146,AURKB,13.76,SGK1,0.5796
0.6647,4.771e-15,0.5791,MAPK1,15.93,SGK1,0.541
0.8801,1.557e-18,0.6548,CHEK1,2.988,SGK1,0.5402
0.6536,4.405e-16,0.5979,STRADA,13.22,SGK1,0.5387
0.8936,4.266e-19,0.6511,TSSK6,2.408,SGK1,0.5364
0.568,2.635e-14,0.5406,FGFR2,29.0,SGK1,0.531
0.6408,5.869e-15,0.5576,ERBB2,25.34,SGK1,0.5298
0.8049,1.276e-14,0.5956,CHUK,5.634,SGK1,0.5297
0.6088,1.415e-14,0.5979,MAP2K2,21.72,SGK1,0.5281
0.8109,8.398e-17,0.6496,TREM2,12.08,SGK1,0.5279
0.8222,7.603e-15,0.58,ABL1,4.872,SGK1,0.5278
0.7033,6.536e-13,0.5924,WEE1,19.06,SGK1,0.5275
0.5836,2.562e-15,0.5416,FGFR3,23.49,SGK1,0.5256
0.776,4.217e-12,0.5489,ROS1,8.858,SGK1,0.5251
0.2307,0.9539,0.3025,ABCC9,17.1,SLC45A3,0.1497
0.1978,6.364,0.2897,CCRL2,28.9,SLC45A3,0.1459
0.2275,9.916,0.2595,OPRD1,19.2,SLC45A3,0.1457
0.1794,0.1896,0.3538,DRD1,33.55,SLC45A3,0.1452
0.2333,6.112,0.2722,OPRK1,19.89,SLC45A3,0.1441
0.222,8.107,0.2593,ORL1,18.87,SLC45A3,0.1413
0.1691,2.514,0.2538,SLC12A3,21.96,SLC45A3,0.1402
0.1964,5.415,0.3257,FSHR,28.74,SLC45A3,0.1391
0.1777,3.336,0.2591,SLC12A2,21.73,SLC45A3,0.1391
0.2118,5.201,0.2634,GNRHR,20.35,SLC45A3,0.1364
0.1734,6.112,0.3133,HTR2A,32.64,SLC45A3,0.1351
0.167,0.719,0.3613,ADRB1,33.85,SLC45A3,0.1344
0.2164,5.201,0.2554,PTAFR,23.42,SLC45A3,0.1343
0.2003,1.973,0.2694,EDNRB,24.1,SLC45A3,0.131
0.185,4.082,0.2715,NPY1R,28.06,SLC45A3,0.1307
0.1836,4.425,0.3823,GRM1,32.22,SLC45A3,0.1301
0.1753,0.845,0.27,AGTR2,22.77,SLC45A3,0.1289
0.1663,0.3079,0.3623,ADRB2,30.18,SLC45A3,0.1276
0.1755,9.525,0.2694,GNB5,26.35,SLC45A3,0.1273
0.1765,5.201,0.3257,EDNRA,31.02,SLC45A3,0.1272
0.8568,3.016e-48,0.8479,SLC6A3,10.02,SLC6A6,0.6645
0.8536,7.259e-46,0.8268,SLC6A2,11.08,SLC6A6,0.6556
0.8462,1.288e-46,0.8397,SLC6A4,22.23,SLC6A6,0.6531
0.423,1.965e-07,0.4096,SLC12A2,39.04,SLC6A6,0.3375
0.4127,2.531e-07,0.3843,SLC12A3,29.55,SLC6A6,0.3265
0.3069,0.0007654,0.2729,SLC12A1,28.06,SLC6A6,0.2428
0.1385,4.177,0.2155,CHRM1,26.3,SLC6A6,0.09907
0.1568,8.919,0.2316,MTOR,21.73,SLC6A6,0.09403
0.1365,3.383,0.2219,SLC9A3,27.82,SLC6A6,0.09181
0.157,2.627,0.2455,NPY2R,32.94,SLC6A6,0.09112
0.1929,8.199,0.2297,GLP1R,22.37,SLC6A6,0.07915
0.2016,9.702,0.2688,HRH3,17.19,SLC6A6,0.07353
0.1136,6.368,0.2145,NPY1R,33.57,SLC6A6,0.07111
0.07545,4.005,0.3148,HEATR6,34.19,SLC6A6,0.06954
0.1174,1.583,0.1929,FDFT1,24.73,SLC6A6,0.06781
0.1084,2.039,0.228,EDNRB,33.0,SLC6A6,0.06778
