org_id,patent_id
UNIV DANKOOK CHEONAN CAMPUS IND ACADEMIC COOPERATION FOUNDATION [KR],KR20260010529A
단국대학교 천안캠퍼스 산학협력단,KR20260010529A
BLOSSOMHILL THERAPEUTICS INC [US],AU2024312823A1
"BLOSSOMHILL THERAPEUTICS, INC",AU2024312823A1
COMMISSARIAT ENERGIE ATOMIQUE [FR],AU2024296221A1
INST NAT SANTE RECH MED [FR],AU2024296221A1
"COMMISSARIAT A L'ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES,",AU2024296221A1
INSTITUT NATIONAL DE LA SANTÉ ET DE LA RECHERCHE MÉDICALE,AU2024296221A1
DAIICHI SANKYO CO LTD [JP],TW202543683A
"DAIICHI SANKYO COMPANY, LIMITED",TW202543683A
DANA FARBER CANCER INST INC,NZ795548A
DANA-FARBER CANCER INSTITUTE INC,NZ795548A
CHIA TAI TIANQING PHARMACEUTICAL GROUP CO LTD,NZ760967A
CHIA TAI TIANQING PHARMACEUTICAL GROUP CO. LTD,NZ760967A
SHENZHEN TARGETRX INC [CN],WO2026021470A1
深圳市塔吉瑞生物医药有限公司,WO2026021470A1
SICHUAN KELUN BIOTECH BIOPHARMACEUTICAL CO LTD [CN],US20260028417A1
"Sichuan Kelun-Biotech Biopharmaceutical Co., Ltd",US20260028417A1
FILAMON LTD [AU],US20260028374A1
FILAMON LTD,US20260028374A1
KOREA RES INST CHEMICAL TECH [KR],WO2026019011A1
UIF UNIV INDUSTRY FOUNDATION YONSEI UNIV [KR],WO2026019011A1
"한국화학연구원,",WO2026019011A1
연세대학교 산학협력단,WO2026019011A1
INNOVENT BIOLOGICS SUZHOU CO LTD [CN],WO2026017120A1
FORTVITA BIOLOGICS INC [GB],WO2026017120A1
"信达生物制药（苏州）有限公司,",WO2026017120A1
新乡医学院,CN118615293A
福佑泰生物制药公司,WO2026017120A1
SICHUAN KELUN BIOTECH BIOPHARMACEUTICAL CO LTD [CN],AU2024287954A1
"SICHUAN KELUN-BIOTECH BIOPHARMACEUTICAL CO., LTD",AU2024287954A1
JANSSEN BIOTECH INC [US],AU2024275022A1
"JANSSEN BIOTECH, INC",AU2024275022A1
JOINT BIOSCIENCES SH LTD [CN],US20260021149A1
JOINT BIOSCIENCES (SH) LTD,US20260021149A1
JANUX THERAPEUTICS INC [US],US20260014267A1
"Janux Therapeutics, Inc",US20260014267A1
INST OF BASIC MEDICINE AND CANCER CHINESE ACADEMY OF SCIENCES [CN],WO2026012388A1
中国科学院基础医学与肿瘤研究所（筹）,WO2026012388A1
HOFFMANN LA ROCHE [US],US20260007678A1
Hoffmann-La Roche Inc,US20260007678A1
ANADOLU UNIV [TR],GB2643080A
BILECIK SEYH EDEBALI UNIV [TR],GB2643080A
"Anadolu Universitesi,",GB2643080A
Bilecik Seyh Edebali Universitesi,GB2643080A
UNIV COLUMBIA [US],US20260001948A1
The Trustees of Columbia University in the City of New York,US20260001948A1
TYK MEDICINES INC [CN],AU2024273622A1
"TYK MEDICINES, INC",AU2024273622A1
DANA FARBER CANCER INST INC [US],CR20250333A
"DANA-FARBER CANCER INSTITUTE, INC",CR20250333A
SHANGHAI HENLIUS BIOTECH INC [CN],IL324458A
SHANGHAI HENLIUS BIOLOGICS CO LTD [CN],IL324458A
YONGQIANG SHAN [CN],IL324458A
HONGBIN SONG [CN],IL324458A
GE SONG [CN],IL324458A
JIAHAO JIANG [CN],IL324458A
WENTAO ZHANG [CN],IL324458A
"SHANGHAI HENLIUS BIOTECH INC,",IL324458A
"SHANGHAI HENLIUS BIOLOGICS CO. LTD,",IL324458A
"Yongqiang SHAN,",IL324458A
"Hongbin SONG,",IL324458A
"Ge SONG,",IL324458A
"Jiahao JIANG,",IL324458A
Wentao ZHANG,IL324458A
BEONE MEDICINES I GMBH [CH],IL324672A
LEI BAILIN [CN],IL324672A
ZHAO YIZHOU [CN],IL324672A
QI XINZHU [CN],IL324672A
LIU GUANJUN [CN],IL324672A
WANG ZHIWEI [CN],IL324672A
LIU HUAQING [CN],IL324672A
"BEONE MEDICINES I GMBH,",IL324672A
"LEI Bailin,",IL324672A
"ZHAO Yizhou,",IL324672A
"QI Xinzhu,",IL324672A
"LIU Guanjun,",IL324672A
"WANG Zhiwei,",IL324672A
LIU Huaqing,IL324672A
ALLORION THERAPEUTICS INC [US],IL324396A
CHENG DAI [CN],IL324396A
YU MING [US],IL324396A
LU YIPIN [US],IL324396A
LI FANG [US],IL324396A
GU LINA [US],IL324396A
WANG TIANSHENG [US],IL324396A
"ALLORION THERAPEUTICS INC,",IL324396A
"CHENG Dai,",IL324396A
"YU Ming,",IL324396A
"LU Yipin,",IL324396A
"LI Fang,",IL324396A
"GU Lina,",IL324396A
WANG Tiansheng,IL324396A
BEONE MEDICINES I GMBH [CH],MX2025013993A
BEONE MEDICINES I GMBH,MX2025013993A
BIOTHEUS HENGQIN CO LTD [CN],TW202540193A
"BIOTHEUS (HENGQIN) CO., LTD",TW202540193A
VELAVIGO SHANGHAI LTD [CN],TW202540187A
VELAVIGO (SHANGHAI) LIMITED,TW202540187A
MERUS NV [NL],TW202540183A
MERUS N.V,TW202540183A
ASTRON CO LTD,CN121285375A
艾斯特里昂株式会社,CN121285375A
TAIHO PHARMACEUTICAL CO LTD,CN121285557A
大鹏药品工业株式会社,CN121285557A
RONGSHAN PHARMACEUTICAL CO LTD,CN121285559A
荣山医药股份有限公司,CN121285559A
BEYANG THERAPEUTICS CO LTD [CN],WO2026002137A1
苏州必扬医药科技有限公司,WO2026002137A1
BEYANG THERAPEUTICS CO LTD [CN],WO2026002142A1
苏州必扬医药科技有限公司,WO2026002142A1
BEYANG THERAPEUTICS CO LTD [CN],WO2026002133A1
苏州必扬医药科技有限公司,WO2026002133A1
BEYANG THERAPEUTICS CO LTD [CN],WO2026002126A1
苏州必扬医药科技有限公司,WO2026002126A1
EPIBIOLOGICS INC [US],US2025388682A1
"EpiBiologics, Inc",US2025388682A1
DANA FARBER CANCER INST INC [US],US2025388573A1
"Dana-Farber Cancer Institute, Inc",US2025388573A1
UNIV CALIFORNIA [US],US2025388563A1
The Regents of the University of California,US2025388563A1
SHANGHAI HENLIUS BIOTECH INC,CN121263211A
"上海复宏汉霖生物技术股份有限公司,",CN121263211A
上海复宏汉霖生物医药有限公司,CN121263211A
ENREBIO PHARMA INC,CN121263404A
安锐生物医药公司,CN121263404A
TAIHO PHARMACEUTICAL CO LTD [JP],AU2024307787A1
"TAIHO PHARMACEUTICAL CO., LTD",AU2024307787A1
SHANGHAI HENLIUS BIOLOGICS CO LTD [CN],AU2024269443A1
SHANGHAI HENLIUS BIOTECH INC [CN],AU2024269443A1
"SHANGHAI HENLIUS BIOLOGICS CO., LTD,",AU2024269443A1
"SHANGHAI HENLIUS BIOTECH, INC",AU2024269443A1
JANSSEN BIOTECH INC,CN121194785A
詹森生物科技公司,CN121194785A
BEIGENE SUZHOU BIOTECHNOLOGY CO LTD,CN121194976A
百济神州（苏州）生物科技有限公司,CN121194976A
BEIGENE SUZHOU BIOTECHNOLOGY CO LTD,CN121194978A
百济神州（苏州）生物科技有限公司,CN121194978A
IMMUNEONCO BIOPHARMACEUTICALS SHANGHAI INC [CN],WO2025256618A1
宜明昂科生物医药技术(上海)股份有限公司,WO2025256618A1
GUANGDONG FAPON BIOPHARMA INC [CN],WO2025256479A1
MERUS N.V,WO2024030027A1
广东菲鹏制药股份有限公司,WO2025256479A1
ORIC PHARMACEUTICALS INC,CN121175049A
欧瑞克制药公司,CN121175049A
BIOCYTOGEN PHARMACEUTICALS BEIJING CO LTD [CN],US2025382373A1
"Biocytogen Pharmaceuticals (Beijing) Co., Ltd",US2025382373A1
FORTVITA BIOLOGICS SINGAPORE PTE LTD [SG],US2025381269A1
FORTVITA BIOLOGICS (SINGAPORE) PTE. LTD,US2025381269A1
GENMAB AS [DK],US2025381289A1
GENMAB A/S,US2025381289A1
UNIV COLUMBIA [US],US2025381183A1
The Trustees of Columbia University in the City of New York,US2025381183A1
NATCO PHARMA LTD [IN],GEAP202416421A
NATCO PHARMA LIMITED,GEAP202416421A
BEIJING SAITE MINGQIANG PHARMACEUTICAL TECH CO LTD,CN121135654A
北京赛特明强医药科技有限公司,CN121135654A
GUANGDONG FAPON PHARMACEUTICAL CO LTD,CN121108363A
广东菲鹏制药股份有限公司,CN121108363A
ALMAC DISCOVERY LTD [GB],US2025375530A1
ALMAC DISCOVERY LIMITED,US2025375530A1
BEIJING STARMAB BIOMED TECH LTD [CN],US2025376535A1
BEIJING STARMAB BIOMED TECHNOLOGY LTD,US2025376535A1
UNIV HONG KONG POLYTECHNIC,US2025375454A1
THE HONG KONG POLYTECHNIC UNIVERSITY,US2025375454A1
BEYONDSPRING PHARMACEUTICALS INC [US],US2025375440A1
"BEYONDSPRING PHARMACEUTICALS, INC",US2025375440A1
SHANDONG SIMCERE BIOLOGICAL PHARMACEUTICAL CO LTD,CN121100134A
山东先声生物制药有限公司,CN121100134A
UNIV STUTTGART,CN121100129A
斯图加特大学,CN121100129A
ORIC PHARMACEUTICALS INC [US],IL324314A
ORIC PHARMACEUTICALS INC,IL324314A
BLOSSOMHILL THERAPEUTICS INC [US],IL324276A
BLOSSOMHILL THERAPEUTICS INC,IL324276A
MERUS NV [NL],CA3244411A1
MERUS N.V,CA3244411A1
UNIV PENNSYLVANIA [US],US20260055160A1
The Trustees of the University of Pennsylvania,US20260055160A1
MERUS NV [NL],KR20260006707A
메뤼스 엔.페.,KR20260006707A
COGENT BIOSCIENCES INC [US],IL323858A
COGENT BIOSCIENCES INC,IL323858A
HOFFMANN LA ROCHE [US],US2025340948A1
Hoffmann-La Roche Inc,US2025340948A1
MERUS B V,CN120887995A
美勒斯公司,CN120887995A
COGENT BIOSCIENCES INC [US],AU2024255740A1
"COGENT BIOSCIENCES, INC",AU2024255740A1
UNIV CITY NEW YORK RES FOUND [US],WO2025184550A1
RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,WO2025184550A1
GENENTECH INC [US],IL321827A
GENENTECH INC,IL321827A
UNIV MICHIGAN [US],US2025263439A1
REGENTS OF THE UNIVERSITY OF MICHIGAN,US2025263439A1
SCORPION THERAPEUTICS INC [US],TW202513560A
"SCORPION THERAPEUTICS, INC",TW202513560A
DRAGONFLY THERAPEUTICS INC [US],US2025206827A1
"Dragonfly Therapeutics, Inc",US2025206827A1
UNIV XINXIANG MEDICAL,CN120053453A
新乡医学院,CN120053453A
BAYER AG,NZ755553A
BAYER PHARMA AG,NZ755553A
"BAYER AKTIENGESELLSCHAFT,",NZ755553A
BAYER PHARMA AKTIENGESELLSCHAFT,NZ755553A
CIRTIS THERAPEUTICS PTY LTD,CN120040593A
瑟缇斯治疗私人有限公司,CN120040593A
GENOME RES LTD [GB],WO2025238176A1
MOSAIC THERAPEUTICS LTD [GB],WO2025238176A1
"GENOME RESEARCH LIMITED,",WO2025238176A1
MOSAIC THERAPEUTICS LIMITED,WO2025238176A1
VORONOI INC [KR],EP4631507A2
Voronoi Inc,EP4631507A2
SCORPION THERAPEUTICS INC [US],TW202504585A
"SCORPION THERAPEUTICS, INC",TW202504585A
ENLIVEN INC [US],US2025136595A1
Enliven Inc,US2025136595A1
COGENT BIOSCIENCES INC [US],US2025129078A1
"Cogent Biosciences, Inc",US2025129078A1
DRAGONFLY THERAPEUTICS INC,JP2025061790A
ドラゴンフライ  セラピューティクス，  インコーポレイテッド,JP2025061790A
HOFFMANN LA ROCHE [CH],WO2025195333A1
HOFFMANN LA ROCHE [US],WO2025195333A1
WANG ZHENG [CN],WO2025195333A1
"F. HOFFMANN-LA ROCHE AG,",WO2025195333A1
"HOFFMANN-LA ROCHE INC,",WO2025195333A1
"WANG, Zheng",WO2025195333A1
MERUS B V,CN119731209A
美勒斯公司,CN119731209A
DRAGONFLY THERAPEUTICS INC [US],MY201987A
"DRAGONFLY THERAPEUTICS, INC",MY201987A
ENLIVEN INC [US],TW202448439A
ENLIVEN INC,TW202448439A
HELIGENICS INC [US],AU2023324299A1
HELIGENICS INC,AU2023324299A1
SCORPION THERAPEUTICS INC [US],PH12023500010A1
"SCORPION THERAPEUTICS, INC",PH12023500010A1
DRAGONFLY THERAPEUTICS INC,CN118924895A
蜻蜓疗法股份有限公司,CN118924895A
ENLIVEN INC,JP2024159875A
エンライブン  インコーポレイテッド,JP2024159875A
COGENT BIOSCIENCES INC [US],EP4695256A2
"Cogent Biosciences, Inc",EP4695256A2
COGENT BIOSCIENCES INC [US],WO2024215809A2
"COGENT BIOSCIENCES, INC",WO2024215809A2
UNIV JOHNS HOPKINS [US],US2024344136A1
UNIV OF TORINO [IT],US2024344136A1
"The Johns Hopkins University,",US2024344136A1
University of Torino,US2024344136A1
DRAGONFLY THERAPEUTICS INC [US],SA521421188B1
"DRAGONFLY THERAPEUTICS, INC",SA521421188B1
DRAGONFLY THERAPEUTICS INC [US],ZA202100916B
"Dragonfly Therapeutics, Inc",ZA202100916B
UNIV XINXIANG MEDICAL,CN118615293A
HEALTH RESEARCH INC [US],US2024293518A1
"Health Research, Inc",US2024293518A1
OHIO STATE INNOVATION FOUNDATION [US],WO2024178422A1
OHIO STATE INNOVATION FOUNDATION,WO2024178422A1
UNIV XINXIANG MEDICAL,CN118566507A
新乡医学院,CN118566507A
ENLIVEN INC [US],MX2024005343A
ENLIVEN INC,MX2024005343A
VORONOI INC [KR],US2024262815A1
VORONOI INC,US2024262815A1
MERUS NV [NL],TW202413436A
MERUS N.V,TW202413436A
SCORPION THERAPEUTICS INC [US],WO2024254266A1
"SCORPION THERAPEUTICS, INC",WO2024254266A1
SCORPION THERAPEUTICS INC [US],WO2024254298A1
"SCORPION THERAPEUTICS, INC",WO2024254298A1
SHANGHAI PHARMACEUTICALS HOLDING CO LTD [CN],US2024197737A1
"SHANGHAI PHARMACEUTICALS HOLDING CO., LTD",US2024197737A1
ENLIVEN INC [US],IL312438A
ENLIVEN INC,IL312438A
CHEMOTHERAPEUTISCHES FORSCHUNGSINSTITUT GEORG SPEYER HAUS [DE],US2024174768A1
CHEMOTHERAPEUTISCHES FORSCHUNGSINSTITUT GEORG-SPEYER-HAUS,US2024174768A1
INLEVION INC,CN118103370A
英莱汶公司,CN118103370A
ENLIVEN INC,AU2022381075A1
ENLIVEN INC [US],WO2024229019A1
ENLIVEN INC,WO2024229019A1
VORONOI INC [KR],US2024150337A1
VORONOI INC,US2024150337A1
UNIV PENNSYLVANIA [US],AU2024201649A1
THE TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,AU2024201649A1
ARRAY BIOPHARMA INC [US],MY202114A
"ARRAY BIOPHARMA, INC",MY202114A
VORONOI INC [KR],ZA202107889B
VORONOIBIO INC [KR],ZA202107889B
B2SBIO INC [KR],ZA202107889B
"VORONOI INC,",ZA202107889B
"VORONOIBIO INC,",ZA202107889B
B2SBIO INC,ZA202107889B
ENLIVEN INC [US],CA3235504A1
ENLIVEN INC,CA3235504A1
ENLIVEN THERAPEUTICS INC [US],US2024116921A1
"EnLiven Therapeutics, Inc",US2024116921A1
SCORPION THERAPEUTICS INC [US],MX2023004085A
"SCORPION THERAPEUTICS, INC",MX2023004085A
SCORPION THERAPEUTICS INC [US],US2024101576A1
"Scorpion Therapeutics, Inc",US2024101576A1
SCORPION THERAPEUTICS INC [US],MX2023003362A
"SCORPION THERAPEUTICS, INC",MX2023003362A
UNIV FUDAN,CN117642430A
复旦大学,CN117642430A
HELIGENICS INC [US],WO2024036234A1
HELIGENICS INC,WO2024036234A1
THE INSTITUTE OF CANCER RES ROYAL CANCER HOSPITAL [GB],US2024052420A1
CANCER RESEARCH TECH LTD [GB],US2024052420A1
BREAST CANCER NOW [GB],US2024052420A1
"The Institute of Cancer Research: Royal Cancer Hospital,",US2024052420A1
"Cancer Research Technology Limited,",US2024052420A1
Breast Cancer Now,US2024052420A1
MERUS NV,CN117487015A
美勒斯公司,CN117487015A
MERUS NV [NL],US2024026029A1
Merus N.V,US2024026029A1
KHLORIS BIOSCIENCES INC,AU2022285593A1
"KHLORIS BIOSCIENCES, INC",AU2022285593A1
HONGCHENG TONGCHUANG SHANDONG PHARMACEUTICAL TECH CO LTD,CN117398445A
宏铖同创（山东）医药科技有限公司,CN117398445A
UNIV FUDAN,CN117362440A
复旦大学,CN117362440A
UNIV FUDAN [CN],EP4549464A1
Fudan University,EP4549464A1
UNIV FUDAN [CN],WO2024001844A1
复旦大学,WO2024001844A1
UNIV FUDAN [CN],WO2024001510A1
复旦大学,WO2024001510A1
BEIJING TIDE PHARMACEUTICAL CO LTD,CN117327059A
北京泰德制药股份有限公司,CN117327059A
VERONOY AS,CN117255792A
沃若诺伊公司,CN117255792A
ENLIVEN THERAPEUTICS INC [US],TW202334167A
"ENLIVEN THERAPEUTICS, INC",TW202334167A
ENLIVEN THERAPEUTICS INC [US],US2023382923A1
"EnLiven Therapeutics, Inc",US2023382923A1
SCORPION THERAPEUTICS INC [US],US2023364070A1
"Scorpion Therapeutics, Inc",US2023364070A1
ENLIVEN INC [US],EP4587124A1
Enliven Inc,EP4587124A1
VORONOI INC [KR],US2023322753A1
VORONOIBIO INC [KR],US2023322753A1
B2SBIO INC [KR],US2023322753A1
"VORONOI INC,",US2023322753A1
"VORONOIBIO INC,",US2023322753A1
B2SBIO INC,US2023322753A1
UNIV EAST CHINA SCIENCE & TECH [CN],US2023321103A1
East China University of Science and Technology,US2023321103A1
ENLIVEN INC [US],WO2024059558A1
ENLIVEN INC,WO2024059558A1
SICHUAN KELUN BIOTECH BIOPHARMACEUTICAL CO LTD [CN],US2023293536A1
"SICHUAN KELUN-BIOTECH BIOPHARMACEUTICAL CO., LTD",US2023293536A1
PROFESSIONAL DIETETICS SPA [IT],MX2022008096A
PROFESSIONAL DIETETICS S.P.A,MX2022008096A
DRAGONFLY THERAPEUTICS INC [US],MX2022002524A
"DRAGONFLY THERAPEUTICS, INC",MX2022002524A
CHEMOTHERAPEUTISCHES FORSCHUNGSINSTITUT GEORG SPEYER HAUS [DE],CA3210650A1
CHEMOTHERAPEUTISCHES FORSCHUNGSINSTITUT GEORG-SPEYER-HAUS,CA3210650A1
MERUS NV,CN116710485A
美勒斯公司,CN116710485A
ENLIVEN THERAPEUTICS INC [US],US2023265098A1
"EnLiven Therapeutics, Inc",US2023265098A1
NANOMAB TECH LIMITED [HK],US2023263916A1
NANOMAB TECHNOLOGY LIMITED,US2023263916A1
ENLIVEN INC [US],EP4476211A1
Enliven Inc,EP4476211A1
ENLIVEN THERAPEUTICS INC [US],WO2023154124A1
"ENLIVEN THERAPEUTICS, INC",WO2023154124A1
MERUS NV [NL],WO2024030027A1
VORONOI INC [KR],MX2021011160A
VORONOI INC,MX2021011160A
VORONOI BIO CO LTD,CN116194111A
B2S BIO CO LTD,CN116194111A
VRONOI CO LTD,CN116194111A
"株式会社沃若诺伊生物,",CN116194111A
株式会社B2S生物,CN116194111A
PRODEG LLC [US],WO2023089601A2
"PRODEG, LLC",WO2023089601A2
SCORPION THERAPEUTICS INC [US],AU2021358596A1
"SCORPION THERAPEUTICS, INC,",AU2021358596A1
"ANTARES THERAPEUTICS, INC",AU2021358596A1
ENLIVEN THERAPEUTICS INC [US],US2023159557A1
"EnLiven Therapeutics, Inc",US2023159557A1
SCORPION THERAPEUTICS INC [US],CA3198202A1
"SCORPION THERAPEUTICS, INC",CA3198202A1
ENLIVEN INC [US],EP4426697A1
Enliven Inc,EP4426697A1
ENLIVEN THERAPEUTICS INC [US],WO2023081637A1
"ENLIVEN THERAPEUTICS, INC,",WO2023081637A1
ENLIVEN INC,WO2023081637A1
ENLIVEN THERAPEUTICS INC [US],WO2023077259A1
PHARMARON BEIJING CO LTD [CN],WO2023077259A1
"ENLIVEN THERAPEUTICS, INC,",WO2023077259A1
"PHARMARON BEIJING CO., LTD",WO2023077259A1
SCORPION THERAPEUTICS INC [US],AU2021347288A1
"SCORPION THERAPEUTICS, INC,",AU2021347288A1
"ANTARES THERAPEUTICS, INC",AU2021347288A1
SCORPION THERAPEUTICS INC [US],CA3196712A1
"SCORPION THERAPEUTICS, INC",CA3196712A1
DRAGONFLY THERAPEUTICS INC [US],EP4249067A2
"Dragonfly Therapeutics, Inc",EP4249067A2
CHUGAI SEIYAKU KK [JP],US20260069600A1
CHUGAI SEIYAKU KABUSHIKI KAISHA,US20260069600A1
CHILDRENS MEDICAL CT CORP [US],US20260049279A1
The Children's Medical Center Corporation,US20260049279A1
HOFFMANN LA ROCHE [CH],AU2024332707A1
F. HOFFMANN-LA ROCHE AG,AU2024332707A1
TRIANA BIOMEDICINES INC [US],US20260042752A1
"Triana Biomedicines, Inc",US20260042752A1
FOUND MEDICINE INC [US],WO2026030539A1
"FOUNDATION MEDICINE, INC",WO2026030539A1
HAINAN SIMCERE ZAIMING PHARMACEUTICAL CO LTD [CN],WO2026026817A1
海南先声再明医药股份有限公司,WO2026026817A1
DANA FARBER CANCER INST INC [US],US20260027217A1
"DANA-FARBER CANCER INSTITUTE, INC",US20260027217A1
UNIV SOUTHERN SCI & TECH [CN],WO2026016338A1
SHENZHEN INST OF ADV TECH CAS [CN],WO2026016338A1
"南方科技大学,",WO2026016338A1
深圳先进技术研究院,WO2026016338A1
KINTOR PHARMACEUTICAL GUANGDONG CO LTD [CN],US2025382386A1
"KINTOR PHARMACEUTICAL (GUANGDONG) CO., LTD",US2025382386A1
CHIESI FARM SPA [IT],US2025368650A1
CHIESI FARMACEUTICI S.P.A,US2025368650A1
KAITUO PHARMACEUTICAL GUANGDONG CO LTD,CN121079328A
开拓药业（广东）有限公司,CN121079328A
INST NAT SANTE RECH MED [FR],US2025360134A1
ECOLE POLYTECH [FR],US2025360134A1
UNIV BORDEAUX [FR],US2025360134A1
PASTEUR INSTITUT [FR],US2025360134A1
CENTRE NAT RECH SCIENT [FR],US2025360134A1
"INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE (INSERM),",US2025360134A1
"ECOLE POLYTECHNIQUE,",US2025360134A1
"UNIVERSITE DE BORDEAUX,",US2025360134A1
"INSTITUT PASTEUR,",US2025360134A1
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE,US2025360134A1
CHUGAI PHARMACEUTICAL CO LTD [JP],CA3262258A1
CHUGAI SEIYAKU KABUSHIKI KAISHA,CA3262258A1
CHUGAI PHARMACEUTICAL CO LTD [JP],CA3258469A1
CHUGAI SEIYAKU KABUSHIKI KAISHA,CA3258469A1
SANOFI SA [FR],CA3248846A1
SANOFI,CA3248846A1
UNIV PEKING 3RD HOSPITAL PEKING UNIV 3RD CLINICAL MEDICAL COLLEGE,CN120965763A
北京大学第三医院（北京大学第三临床医学院）,CN120965763A
SHOUYAO HOLDINGS BEIJING CO LTD,CN120957704A
首药控股（北京）股份有限公司,CN120957704A
NUVALENT INC [US],US2025326769A1
"Nuvalent, Inc",US2025326769A1
ELICIO THERAPEUTICS INC [US],US2025325644A1
"Elicio Therapeutics, Inc",US2025325644A1
JOINT BIOSCIENCES SH LTD [CN],AU2024299158A1
JOINT BIOSCIENCES (SH) LTD,AU2024299158A1
HOFFMANN LA ROCHE [CH],TW202528340A
F. HOFFMANN-LA ROCHE AG,TW202528340A
SHENZHEN TARGETRX INC [CN],TW202521118A
"SHENZHEN TARGETRX, INC",TW202521118A
BORUITAI TIANJIN BIOTECHNOLOGY CO LTD,CN120678903A
博瑞泰（天津）生物科技有限公司,CN120678903A
TRIANA BIOMEDICINES INC [US],WO2026035999A1
